Input,Output
"[0, 11]","[0, 0]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 100]","[0, 0]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[111, 10010]","[11, 1100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1010, 10000]","[11, 1100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[1100, 1111]","[1001, 1000]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[111, 10010]","[11, 1100]"
"[1011, 11001]","[111, 10010]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[1100, 1111]","[1001, 1000]"
"[10010, 10101]","[1100, 1111]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10110, 10010]","[10000, 1100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[1100, 1111]","[1001, 1000]"
"[10010, 10101]","[1100, 1111]"
"[10110, 11101]","[10010, 10101]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11010, 11010]","[10101, 10011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10110, 10010]","[10000, 1100]"
