Input,Output,SUM
"[0, 0, 2]","[0, 0, 0]",5
"[0, 11, 1]","[0, 0, 0]",6
"[0, 2, 12]","[0, 0, 2]",1
"[1, 11, 0]","[0, 0, 0]",7
"[1, 11, 2]","[0, 0, 0]",16
"[1, 12, 11]","[0, 0, 2]",2
"[1, 22, 11]","[0, 11, 1]",2
"[10, 10, 0]","[0, 0, 0]",43
"[10, 10, 2]","[0, 0, 0]",2
"[100, 110, 12]","[12, 21, 10]",1
"[1000, 1021, 1001]","[202, 1001, 222]",2
"[1001, 1021, 1000]","[210, 1001, 221]",10
"[1002, 1121, 1011]","[221, 1022, 1001]",1
"[101, 122, 101]","[21, 102, 21]",2
"[101, 200, 102]","[12, 112, 22]",1
"[101, 200, 21]","[20, 112, 11]",3
"[1010, 1112, 1012]","[222, 1020, 1002]",1
"[1010, 1121, 1010]","[221, 1022, 1001]",1
"[1011, 1121, 1010]","[1000, 1021, 1001]",1
"[1011, 2000, 1022]","[221, 1211, 1011]",2
"[102, 120, 102]","[21, 102, 21]",14
"[102, 200, 101]","[20, 112, 21]",2
"[1020, 1112, 1010]","[1001, 1021, 1000]",9
"[1022, 2020, 1111]","[1011, 2000, 1022]",1
"[11, 100, 1]","[1, 11, 0]",6
"[11, 101, 10]","[1, 11, 2]",15
"[11, 101, 20]","[1, 12, 11]",1
"[11, 110, 21]","[2, 20, 12]",1
"[110, 120, 101]","[22, 100, 22]",22
"[110, 200, 100]","[20, 112, 21]",9
"[110, 212, 112]","[101, 122, 101]",1
"[1101, 1202, 1022]","[1020, 1112, 1010]",1
"[1101, 1211, 1020]","[1020, 1112, 1010]",7
"[111, 212, 111]","[110, 120, 101]",5
"[111, 220, 101]","[101, 200, 21]",2
"[111, 220, 112]","[102, 200, 101]",1
"[1112, 2002, 1101]","[1101, 1211, 1020]",6
"[112, 210, 112]","[110, 120, 101]",8
"[112, 220, 111]","[110, 200, 100]",8
"[1121, 2022, 1122]","[1112, 2002, 1101]",2
"[1121, 2110, 1111]","[1112, 2002, 1101]",2
"[12, 112, 12]","[11, 100, 1]",1
"[12, 112, 22]","[11, 101, 10]",2
"[12, 21, 10]","[10, 10, 0]",42
"[120, 201, 120]","[102, 120, 102]",13
"[120, 210, 111]","[110, 120, 101]",8
"[1200, 2101, 1111]","[1112, 2002, 1101]",1
"[1201, 2120, 1211]","[1121, 2022, 1122]",1
"[1201, 2122, 1202]","[1121, 2110, 1111]",1
"[121, 1010, 121]","[111, 212, 111]",2
"[121, 1011, 122]","[112, 220, 111]",6
"[121, 221, 202]","[112, 210, 112]",5
"[122, 212, 210]","[120, 201, 120]",12
"[122, 221, 201]","[120, 210, 111]",7
"[2, 10, 12]","[0, 0, 2]",1
"[2, 111, 21]","[1, 22, 11]",1
"[2, 2, 10]","[0, 0, 0]",1
"[2, 20, 12]","[0, 11, 1]",3
"[20, 112, 11]","[11, 100, 1]",4
"[20, 112, 21]","[11, 101, 10]",12
"[20, 12, 20]","[10, 10, 2]",1
"[20, 22, 100]","[2, 20, 12]",1
"[200, 1001, 121]","[111, 212, 111]",1
"[200, 1002, 111]","[111, 220, 101]",1
"[200, 212, 202]","[112, 210, 112]",2
"[200, 221, 200]","[111, 212, 111]",1
"[200, 222, 201]","[112, 220, 111]",1
"[201, 1022, 212]","[121, 1011, 122]",5
"[202, 1001, 222]","[121, 221, 202]",4
"[202, 1021, 210]","[121, 1010, 121]",1
"[21, 102, 21]","[12, 21, 10]",17
"[210, 1001, 221]","[122, 212, 210]",11
"[210, 1010, 212]","[122, 221, 201]",6
"[211, 1001, 220]","[200, 212, 202]",1
"[212, 1112, 1000]","[201, 1022, 212]",4
"[22, 100, 22]","[12, 21, 10]",23
"[221, 1020, 1010]","[202, 1001, 222]",1
"[221, 1022, 1001]","[210, 1010, 212]",3
"[221, 1211, 1011]","[212, 1112, 1000]",3
"[222, 1020, 1002]","[210, 1010, 212]",2
