Source_String,Target_String,weight
We have: 2 2's.,We have no digits.,5
"We have: 11 1's, 1 2.",We have no digits.,6
"We have: 2 1's, 12 2's.",We have: 2 2's.,1
"We have: 1 0, 11 1's.",We have no digits.,7
"We have: 1 0, 11 1's, 2 2's.",We have no digits.,16
"We have: 1 0, 12 1's, 11 2's.",We have: 2 2's.,2
"We have: 1 0, 22 1's, 11 2's.","We have: 11 1's, 1 2.",2
"We have: 10 0's, 10 1's.",We have no digits.,43
"We have: 10 0's, 10 1's, 2 2's.",We have no digits.,2
"We have: 100 0's, 110 1's, 12 2's.","We have: 12 0's, 21 1's, 10 2's.",1
"We have: 1000 0's, 1021 1's, 1001 2's.","We have: 202 0's, 1001 1's, 222 2's.",2
"We have: 1001 0's, 1021 1's, 1000 2's.","We have: 210 0's, 1001 1's, 221 2's.",10
"We have: 1002 0's, 1121 1's, 1011 2's.","We have: 221 0's, 1022 1's, 1001 2's.",1
"We have: 101 0's, 122 1's, 101 2's.","We have: 21 0's, 102 1's, 21 2's.",2
"We have: 101 0's, 200 1's, 102 2's.","We have: 12 0's, 112 1's, 22 2's.",1
"We have: 101 0's, 200 1's, 21 2's.","We have: 20 0's, 112 1's, 11 2's.",3
"We have: 1010 0's, 1112 1's, 1012 2's.","We have: 222 0's, 1020 1's, 1002 2's.",1
"We have: 1010 0's, 1121 1's, 1010 2's.","We have: 221 0's, 1022 1's, 1001 2's.",1
"We have: 1011 0's, 1121 1's, 1010 2's.","We have: 1000 0's, 1021 1's, 1001 2's.",1
"We have: 1011 0's, 2000 1's, 1022 2's.","We have: 221 0's, 1211 1's, 1011 2's.",2
"We have: 102 0's, 120 1's, 102 2's.","We have: 21 0's, 102 1's, 21 2's.",14
"We have: 102 0's, 200 1's, 101 2's.","We have: 20 0's, 112 1's, 21 2's.",2
"We have: 1020 0's, 1112 1's, 1010 2's.","We have: 1001 0's, 1021 1's, 1000 2's.",9
"We have: 1022 0's, 2020 1's, 1111 2's.","We have: 1011 0's, 2000 1's, 1022 2's.",1
"We have: 11 0's, 100 1's, 1 2.","We have: 1 0, 11 1's.",6
"We have: 11 0's, 101 1's, 10 2's.","We have: 1 0, 11 1's, 2 2's.",15
"We have: 11 0's, 101 1's, 20 2's.","We have: 1 0, 12 1's, 11 2's.",1
"We have: 11 0's, 110 1's, 21 2's.","We have: 2 0's, 20 1's, 12 2's.",1
"We have: 110 0's, 120 1's, 101 2's.","We have: 22 0's, 100 1's, 22 2's.",22
"We have: 110 0's, 200 1's, 100 2's.","We have: 20 0's, 112 1's, 21 2's.",9
"We have: 110 0's, 212 1's, 112 2's.","We have: 101 0's, 122 1's, 101 2's.",1
"We have: 1101 0's, 1202 1's, 1022 2's.","We have: 1020 0's, 1112 1's, 1010 2's.",1
"We have: 1101 0's, 1211 1's, 1020 2's.","We have: 1020 0's, 1112 1's, 1010 2's.",7
"We have: 111 0's, 212 1's, 111 2's.","We have: 110 0's, 120 1's, 101 2's.",5
"We have: 111 0's, 220 1's, 101 2's.","We have: 101 0's, 200 1's, 21 2's.",2
"We have: 111 0's, 220 1's, 112 2's.","We have: 102 0's, 200 1's, 101 2's.",1
