Input,Output,SUM
"[0, 0, 2, 0, 0]","[0, 0, 0, 0, 0]",328
"[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]",8
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]",222
"[0, 0, 4, 4, 4]","[0, 0, 3, 3, 0]",1
"[0, 11, 1, 1, 1]","[0, 0, 0, 0, 0]",1
"[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]",8
"[0, 12, 14, 4, 11]","[0, 2, 12, 3, 3]",1
"[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]",61
"[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]",34
"[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]",6
"[0, 2, 3, 2, 1]","[0, 0, 0, 0, 0]",3
"[0, 3, 1, 3, 1]","[0, 0, 0, 0, 0]",2
"[0, 3, 11, 2, 4]","[0, 0, 4, 0, 2]",1
"[1, 11, 0, 1, 1]","[0, 0, 0, 0, 0]",1
"[1, 11, 1, 0, 1]","[0, 0, 0, 0, 0]",4
"[1, 11, 1, 1, 0]","[0, 0, 0, 0, 0]",1
"[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]",19
"[1, 11, 2, 1, 1]","[0, 0, 0, 0, 0]",2
"[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]",50
"[1, 13, 3, 11, 2]","[0, 3, 1, 3, 1]",1
"[1, 2, 3, 2, 0]","[0, 0, 0, 0, 0]",21
"[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]",7
"[1, 3, 0, 3, 1]","[0, 0, 0, 0, 0]",1
"[1, 3, 1, 3, 0]","[0, 0, 0, 0, 0]",4
"[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]",97
"[1, 3, 2, 3, 1]","[0, 0, 0, 0, 0]",1
"[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]",18
"[10, 20, 14, 2, 11]","[2, 10, 11, 1, 4]",4
"[10, 21, 13, 12, 3]","[3, 11, 10, 4, 2]",18
"[10, 22, 23, 13, 11]","[3, 12, 14, 10, 10]",2
"[10, 22, 24, 11, 12]","[3, 12, 14, 10, 10]",20
"[10, 22, 24, 11, 13]","[3, 12, 20, 4, 11]",2
"[10, 23, 22, 13, 13]","[3, 14, 13, 4, 12]",1
"[10, 24, 21, 13, 13]","[3, 14, 13, 10, 11]",1
"[10, 24, 22, 11, 14]","[3, 14, 13, 10, 11]",75
"[10, 30, 30, 12, 13]","[1, 21, 23, 3, 12]",2
"[10, 31, 31, 12, 20]","[2, 21, 23, 4, 14]",2
"[10, 32, 42, 21, 23]","[3, 24, 32, 13, 21]",43
"[10, 34, 34, 20, 21]","[2, 31, 31, 12, 13]",1
"[100, 101, 100, 100, 43]","[32, 40, 44, 43, 41]",1
"[100, 123, 110, 100, 102]","[33, 111, 102, 43, 101]",1
"[100, 123, 112, 43, 102]","[41, 112, 103, 40, 100]",1
"[100, 124, 111, 42, 103]","[41, 112, 103, 40, 100]",1
"[100, 133, 103, 104, 44]","[40, 123, 102, 100, 40]",1
"[100, 200, 122, 103, 114]","[34, 134, 113, 101, 112]",3
"[100, 214, 130, 113, 121]","[41, 201, 122, 110, 114]",1
"[101, 123, 101, 101, 104]","[41, 104, 44, 44, 102]",1
"[101, 134, 100, 110, 111]","[41, 114, 44, 103, 104]",2
"[101, 134, 112, 103, 113]","[43, 120, 110, 44, 111]",1
"[101, 141, 112, 101, 113]","[43, 120, 110, 44, 111]",1
"[101, 142, 113, 102, 111]","[43, 122, 110, 100, 104]",2
"[101, 143, 111, 103, 111]","[43, 122, 110, 100, 104]",1
"[101, 143, 113, 101, 111]","[43, 122, 112, 43, 104]",10
"[101, 144, 123, 110, 124]","[43, 131, 120, 103, 120]",19
"[102, 120, 103, 102, 103]","[41, 104, 44, 44, 102]",1
"[102, 134, 120, 103, 110]","[42, 122, 112, 100, 103]",1
"[102, 141, 120, 101, 110]","[42, 122, 112, 100, 103]",1
"[102, 201, 113, 104, 114]","[43, 133, 110, 102, 111]",3
"[102, 201, 121, 102, 113]","[43, 133, 111, 100, 112]",1
"[103, 134, 112, 102, 102]","[44, 122, 103, 44, 100]",1
"[103, 140, 114, 100, 112]","[43, 122, 112, 43, 104]",1
"[103, 144, 120, 102, 120]","[43, 133, 111, 100, 112]",13
"[103, 201, 112, 112, 100]","[43, 133, 103, 110, 44]",1
"[103, 212, 132, 114, 131]","[101, 144, 123, 110, 124]",18
"[103, 213, 131, 112, 120]","[100, 200, 122, 103, 114]",1
"[103, 214, 130, 111, 121]","[100, 200, 122, 103, 114]",1
"[104, 113, 102, 104, 101]","[44, 100, 100, 102, 43]",1
"[104, 133, 104, 103, 104]","[44, 122, 103, 44, 100]",57
"[104, 134, 110, 102, 103]","[44, 122, 103, 44, 100]",1
"[104, 200, 114, 101, 120]","[43, 133, 111, 100, 112]",1
"[104, 211, 122, 103, 114]","[101, 143, 113, 101, 111]",9
"[104, 214, 123, 111, 122]","[102, 201, 113, 104, 114]",2
"[11, 20, 23, 14, 10]","[3, 10, 20, 12, 3]",3
"[11, 24, 10, 10, 10]","[2, 13, 3, 4, 3]",1
"[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]",92
"[11, 30, 20, 11, 14]","[3, 14, 13, 4, 12]",2
"[11, 30, 30, 13, 20]","[2, 21, 23, 4, 14]",1
"[11, 30, 32, 22, 13]","[4, 21, 23, 13, 12]",6
"[11, 31, 21, 4, 14]","[10, 20, 14, 2, 11]",1
"[11, 31, 30, 23, 13]","[4, 21, 23, 13, 12]",2
"[11, 32, 22, 11, 11]","[10, 20, 13, 4, 10]",3
"[11, 33, 31, 21, 13]","[10, 22, 24, 11, 12]",18
"[11, 41, 44, 24, 33]","[10, 32, 42, 21, 23]",42
"[110, 113, 102, 104, 100]","[44, 100, 100, 102, 43]",1
"[110, 140, 104, 101, 103]","[44, 122, 103, 44, 100]",3
"[110, 141, 110, 100, 102]","[44, 122, 103, 44, 100]",5
"[110, 202, 104, 112, 113]","[101, 134, 100, 110, 111]",1
"[110, 210, 122, 104, 113]","[101, 142, 113, 102, 111]",1
"[110, 223, 142, 123, 134]","[103, 212, 132, 114, 131]",2
"[111, 211, 111, 104, 111]","[104, 133, 104, 103, 104]",56
"[111, 212, 130, 104, 122]","[103, 144, 120, 102, 120]",12
"[111, 224, 142, 120, 140]","[103, 212, 132, 114, 131]",15
"[112, 230, 131, 111, 120]","[104, 211, 122, 103, 114]",8
"[112, 230, 133, 120, 124]","[104, 214, 123, 111, 122]",1
"[112, 231, 114, 113, 113]","[111, 211, 111, 104, 111]",18
"[112, 231, 122, 111, 112]","[111, 211, 111, 104, 111]",21
"[113, 224, 120, 113, 113]","[111, 211, 111, 104, 111]",13
"[113, 224, 133, 114, 130]","[111, 212, 130, 104, 122]",11
"[113, 230, 113, 114, 113]","[111, 211, 111, 104, 111]",1
"[113, 230, 114, 112, 114]","[111, 211, 111, 104, 111]",1
"[113, 230, 121, 112, 112]","[111, 211, 111, 104, 111]",1
"[113, 240, 201, 131, 142]","[110, 223, 142, 123, 134]",1
"[113, 241, 201, 123, 144]","[111, 224, 142, 120, 140]",14
"[114, 204, 113, 102, 110]","[110, 141, 110, 100, 102]",3
