"[21, 54, 52, 45, 45, 40]","[15, 52, 45, 44, 40, 31]","[13, 45, 43, 42, 31, 23]","[12, 42, 40, 33, 23, 21]","[10, 35, 31, 25, 20, 20]","[2, 32, 23, 22, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[21, 101, 42, 54, 45, 34]","[15, 53, 35, 52, 40, 31]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[21, 101, 42, 55, 43, 35]","[15, 53, 35, 52, 40, 31]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[22, 100, 41, 55, 45, 34]","[15, 53, 34, 53, 41, 30]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[23, 55, 40, 100, 45, 34]","[15, 53, 34, 53, 41, 30]","[13, 50, 33, 44, 34, 22]","[11, 44, 30, 35, 30, 20]","[3, 41, 24, 31, 23, 14]","[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[23, 55, 55, 42, 41, 41]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[23, 101, 44, 51, 45, 33]","[21, 53, 42, 43, 41, 30]","[15, 50, 35, 35, 33, 24]","[13, 44, 33, 30, 31, 15]","[11, 40, 32, 20, 24, 13]","[4, 32, 24, 13, 21, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[24, 53, 53, 44, 51, 32]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[24, 53, 55, 43, 42, 40]","[22, 52, 52, 40, 33, 32]","[20, 51, 42, 32, 31, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[24, 54, 51, 42, 51, 35]","[23, 51, 44, 40, 43, 30]","[20, 45, 42, 32, 34, 24]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[24, 55, 51, 41, 45, 41]","[23, 51, 45, 40, 40, 32]","[20, 45, 42, 33, 32, 25]","[14, 44, 33, 25, 25, 22]","[13, 42, 24, 22, 21, 15]","[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[25, 52, 53, 44, 50, 33]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[25, 55, 52, 40, 45, 40]","[22, 54, 45, 35, 41, 30]","[20, 52, 42, 32, 33, 22]","[14, 51, 31, 24, 31, 20]","[12, 42, 24, 21, 24, 14]","[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[30, 52, 53, 44, 50, 32]","[23, 51, 50, 40, 43, 24]","[20, 45, 43, 33, 35, 21]","[14, 43, 40, 24, 32, 14]","[12, 40, 33, 21, 22, 13]","[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[32, 100, 50, 50, 31, 42]","[23, 53, 43, 43, 25, 35]","[22, 52, 40, 33, 22, 31]","[20, 50, 30, 25, 20, 25]","[11, 45, 21, 23, 15, 21]","[10, 35, 13, 21, 13, 14]","[4, 25, 11, 13, 11, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
