"[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[0, 13, 3, 4, 4, 2]","[0, 11, 1, 1, 1, 1]"
"[0, 13, 3, 5, 2, 3]","[0, 11, 1, 1, 1, 1]"
"[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]"
"[2, 4, 4, 5, 4, 3]","[1, 3, 2, 3, 0, 1]"
"[2, 11, 11, 3, 0, 3]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[2, 13, 3, 4, 4, 0]","[1, 11, 1, 1, 1, 0]"
"[2, 13, 3, 5, 0, 3]","[1, 11, 1, 1, 0, 1]"
"[3, 10, 3, 10, 2, 2]","[0, 3, 0, 3, 1, 1]"
"[3, 12, 3, 10, 1, 1]","[1, 3, 1, 3, 0, 0]"
"[4, 10, 3, 10, 3, 0]","[1, 3, 2, 3, 1, 0]"
