"[2, 32, 23, 22, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[2, 33, 21, 23, 15, 13]","[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[5, 31, 23, 15, 14, 15]","[4, 22, 21, 12, 12, 11]","[3, 12, 11, 11, 10, 10]","[0, 0, 5, 5, 5, 5]","[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[10, 32, 24, 13, 20, 12]","[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[11, 33, 20, 22, 13, 12]","[5, 24, 11, 14, 12, 11]","[4, 13, 4, 13, 5, 5]","[3, 10, 3, 10, 2, 2]","[0, 3, 0, 3, 1, 1]"
"[11, 34, 14, 20, 15, 13]","[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[11, 34, 15, 20, 14, 13]","[5, 24, 13, 13, 11, 11]","[4, 13, 11, 10, 5, 5]","[2, 4, 10, 4, 3, 2]","[0, 2, 3, 2, 0, 1]"
"[11, 34, 20, 14, 15, 13]","[5, 24, 14, 11, 12, 11]","[4, 13, 11, 10, 5, 5]","[2, 4, 10, 4, 3, 2]","[0, 2, 3, 2, 0, 1]"
"[11, 34, 21, 14, 13, 14]","[10, 23, 15, 11, 5, 13]","[4, 13, 13, 4, 4, 10]","[2, 5, 12, 1, 0, 5]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[11, 34, 21, 20, 13, 12]","[5, 24, 13, 13, 11, 11]","[4, 13, 11, 10, 5, 5]","[2, 4, 10, 4, 3, 2]","[0, 2, 3, 2, 0, 1]"
"[11, 35, 13, 20, 14, 14]","[5, 25, 11, 13, 11, 12]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[11, 40, 13, 21, 13, 13]","[5, 25, 11, 13, 11, 12]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[11, 41, 13, 15, 12, 15]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[12, 30, 30, 20, 10, 13]","[3, 22, 23, 12, 5, 12]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[12, 34, 14, 20, 14, 13]","[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
