Input,Output,SUM
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",320
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]",116
"[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]",32
"[0, 0, 4, 4, 4, 0]","[0, 0, 3, 3, 0, 0]",48
"[0, 0, 5, 5, 5, 5]","[0, 0, 4, 4, 4, 0]",8
"[0, 11, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]",15
"[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]",25
"[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]",36
"[0, 12, 12, 11, 3, 5]","[0, 3, 5, 5, 2, 3]",1
"[0, 13, 3, 4, 4, 2]","[0, 11, 1, 1, 1, 1]",6
"[0, 13, 3, 5, 2, 3]","[0, 11, 1, 1, 1, 1]",8
"[0, 14, 11, 12, 11, 5]","[0, 3, 5, 11, 5, 3]",14
"[0, 14, 13, 5, 3, 11]","[0, 5, 12, 2, 1, 5]",2
"[0, 14, 14, 11, 13, 4]","[0, 4, 13, 5, 5, 3]",11
"[0, 14, 14, 2, 5, 11]","[0, 5, 12, 1, 2, 5]",7
"[0, 14, 3, 11, 11, 4]","[0, 4, 2, 5, 4, 3]",1
"[0, 14, 4, 11, 11, 3]","[0, 4, 3, 5, 4, 2]",4
"[0, 2, 12, 2, 3, 0]","[0, 0, 4, 0, 2, 0]",14
"[0, 2, 3, 2, 0, 1]","[0, 0, 0, 0, 0, 0]",11
"[0, 2, 3, 2, 1, 0]","[0, 0, 0, 0, 0, 0]",5
"[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]",85
"[0, 2, 5, 1, 0, 2]","[0, 0, 2, 0, 0, 0]",14
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]",56
"[0, 22, 12, 13, 14, 4]","[0, 14, 4, 11, 11, 3]",2
"[0, 22, 23, 4, 11, 12]","[0, 14, 14, 2, 5, 11]",6
"[0, 23, 15, 11, 5, 14]","[0, 14, 13, 5, 3, 11]",1
"[0, 24, 13, 15, 13, 11]","[0, 14, 11, 12, 11, 5]",3
"[0, 3, 0, 3, 1, 1]","[0, 0, 0, 0, 0, 0]",86
"[0, 3, 1, 3, 0, 1]","[0, 0, 0, 0, 0, 0]",88
"[0, 3, 1, 3, 1, 0]","[0, 0, 0, 0, 0, 0]",9
"[0, 3, 2, 3, 1, 1]","[0, 0, 0, 0, 0, 0]",49
"[0, 3, 5, 11, 5, 3]","[0, 0, 4, 4, 4, 0]",19
"[0, 3, 5, 4, 4, 2]","[0, 2, 3, 2, 1, 0]",1
"[0, 3, 5, 5, 2, 3]","[0, 2, 3, 2, 1, 0]",3
"[0, 4, 0, 5, 4, 3]","[0, 3, 0, 3, 1, 1]",1
"[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]",30
"[0, 4, 13, 5, 5, 3]","[0, 2, 12, 2, 3, 0]",12
"[0, 4, 2, 5, 4, 3]","[0, 3, 0, 3, 1, 1]",3
"[0, 4, 3, 5, 4, 2]","[0, 3, 1, 3, 1, 0]",6
"[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]",27
"[0, 5, 11, 0, 2, 5]","[0, 2, 5, 0, 1, 2]",3
"[0, 5, 11, 2, 0, 5]","[0, 2, 5, 1, 0, 2]",2
"[0, 5, 11, 2, 3, 4]","[0, 2, 5, 0, 1, 2]",1
"[0, 5, 11, 3, 2, 4]","[0, 2, 5, 1, 0, 2]",1
"[0, 5, 12, 1, 2, 5]","[0, 2, 5, 0, 1, 2]",9
"[0, 5, 12, 2, 1, 5]","[0, 2, 5, 1, 0, 2]",7
"[1, 11, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0]",14
"[1, 11, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0]",4
"[1, 11, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0]",6
"[1, 11, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",16
"[1, 11, 12, 3, 2, 3]","[0, 2, 5, 0, 1, 2]",1
"[1, 11, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0]",2
"[1, 12, 12, 11, 3, 4]","[0, 2, 5, 5, 1, 3]",1
"[1, 13, 11, 11, 2, 5]","[0, 2, 5, 5, 1, 3]",3
"[1, 13, 11, 12, 3, 5]","[0, 3, 5, 5, 2, 3]",1
"[1, 13, 14, 4, 12, 4]","[0, 4, 12, 2, 4, 3]",1
"[1, 14, 11, 13, 12, 4]","[0, 3, 5, 11, 5, 3]",1
"[1, 14, 12, 12, 11, 5]","[0, 3, 5, 11, 5, 3]",3
"[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]",25
"[1, 15, 13, 2, 4, 11]","[0, 5, 11, 0, 2, 5]",2
"[1, 15, 13, 4, 2, 11]","[0, 5, 11, 2, 0, 5]",1
"[1, 15, 13, 4, 4, 11]","[0, 5, 12, 2, 1, 5]",3
"[1, 2, 3, 2, 0, 0]","[0, 0, 0, 0, 0, 0]",32
"[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]",36
"[1, 2, 5, 5, 0, 3]","[0, 0, 3, 3, 0, 0]",10
"[1, 24, 11, 12, 14, 5]","[0, 14, 4, 11, 11, 3]",1
"[1, 25, 13, 14, 14, 11]","[0, 14, 11, 12, 11, 5]",10
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]",39
"[1, 3, 0, 3, 1, 0]","[0, 0, 0, 0, 0, 0]",5
"[1, 3, 1, 3, 0, 0]","[0, 0, 0, 0, 0, 0]",13
"[1, 3, 2, 3, 0, 1]","[0, 0, 0, 0, 0, 0]",18
"[1, 3, 2, 3, 1, 0]","[0, 0, 0, 0, 0, 0]",8
"[1, 3, 4, 3, 2, 1]","[0, 0, 2, 0, 0, 0]",26
"[1, 3, 5, 2, 1, 2]","[0, 0, 2, 0, 0, 0]",10
"[1, 32, 15, 15, 15, 12]","[0, 22, 12, 13, 14, 4]",1
"[1, 32, 31, 12, 12, 13]","[0, 22, 23, 4, 11, 12]",2
"[1, 33, 15, 23, 15, 14]","[0, 24, 13, 15, 13, 11]",1
"[1, 34, 15, 21, 15, 15]","[0, 24, 13, 15, 13, 11]",1
"[1, 4, 4, 5, 3, 3]","[0, 2, 3, 2, 0, 1]",1
"[1, 5, 0, 5, 3, 4]","[0, 3, 0, 3, 1, 1]",13
"[1, 5, 12, 0, 2, 5]","[0, 2, 5, 0, 1, 2]",14
"[1, 5, 12, 2, 0, 5]","[0, 2, 5, 1, 0, 2]",1
"[1, 5, 12, 2, 3, 4]","[0, 2, 5, 0, 1, 2]",1
"[1, 5, 12, 3, 2, 4]","[0, 2, 5, 1, 0, 2]",2
"[1, 5, 2, 5, 3, 4]","[0, 3, 0, 3, 1, 1]",18
"[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]",55
"[1, 5, 3, 5, 4, 4]","[0, 3, 2, 3, 1, 1]",38
"[10, 12, 20, 12, 10, 3]","[2, 3, 12, 10, 5, 2]",3
"[10, 13, 20, 2, 2, 10]","[2, 5, 12, 0, 1, 5]",1
"[10, 14, 10, 12, 2, 3]","[3, 5, 3, 10, 0, 2]",1
"[10, 14, 11, 5, 5, 10]","[3, 4, 10, 4, 3, 3]",1
"[10, 14, 5, 12, 5, 3]","[4, 10, 3, 10, 3, 0]",3
"[10, 15, 10, 12, 3, 2]","[3, 10, 3, 10, 2, 0]",1
"[10, 15, 4, 10, 10, 10]","[1, 5, 3, 5, 4, 4]",2
"[10, 15, 5, 11, 4, 10]","[3, 5, 4, 10, 2, 3]",14
"[10, 20, 13, 13, 5, 4]","[3, 12, 11, 10, 3, 2]",1
"[10, 20, 5, 10, 5, 3]","[2, 13, 3, 4, 4, 0]",13
"[10, 20, 5, 5, 5, 10]","[2, 13, 3, 4, 4, 2]",1
"[10, 21, 13, 12, 5, 11]","[4, 10, 10, 10, 4, 5]",6
"[10, 21, 15, 12, 3, 11]","[4, 10, 12, 10, 2, 5]",1
