"[1, 13, 11, 12, 3, 5]","[0, 3, 5, 5, 2, 3]","[0, 2, 3, 2, 1, 0]"
"[2, 13, 4, 11, 10, 5]","[0, 4, 2, 5, 4, 3]","[0, 3, 0, 3, 1, 1]"
"[2, 13, 5, 11, 10, 4]","[0, 4, 3, 5, 4, 2]","[0, 3, 1, 3, 1, 0]"
"[2, 14, 3, 11, 5, 10]","[0, 5, 1, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[3, 11, 12, 5, 5, 5]","[2, 3, 10, 3, 4, 1]","[0, 0, 4, 0, 2, 0]","[0, 0, 2, 0, 0, 0]"
"[3, 13, 11, 12, 1, 5]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[3, 14, 2, 11, 5, 10]","[1, 5, 0, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[4, 12, 4, 13, 3, 5]","[3, 5, 2, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[4, 12, 5, 13, 3, 4]","[3, 5, 3, 10, 0, 2]","[1, 3, 1, 3, 0, 0]"
"[4, 12, 11, 10, 4, 4]","[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
