"[3, 22, 23, 12, 5, 12]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 23, 21, 13, 5, 12]","[2, 15, 13, 5, 4, 10]","[0, 11, 11, 3, 2, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 23, 22, 11, 12, 10]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[3, 24, 15, 10, 14, 11]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[4, 22, 22, 10, 13, 10]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[4, 23, 20, 11, 13, 10]","[1, 14, 13, 4, 11, 5]","[0, 4, 12, 2, 4, 3]","[0, 2, 5, 0, 1, 2]","[0, 0, 2, 0, 0, 0]"
"[4, 23, 22, 10, 10, 12]","[1, 15, 13, 4, 4, 11]","[0, 5, 12, 2, 1, 5]","[0, 2, 5, 1, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[5, 22, 23, 12, 3, 12]","[4, 15, 13, 5, 2, 10]","[2, 11, 11, 3, 0, 3]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[5, 23, 15, 13, 4, 13]","[4, 15, 13, 5, 2, 10]","[2, 11, 11, 3, 0, 3]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[5, 23, 21, 13, 3, 12]","[4, 15, 13, 5, 2, 10]","[2, 11, 11, 3, 0, 3]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[5, 23, 22, 11, 4, 12]","[4, 15, 13, 5, 2, 10]","[2, 11, 11, 3, 0, 3]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[5, 24, 11, 14, 12, 11]","[4, 13, 4, 13, 5, 5]","[3, 10, 3, 10, 2, 2]","[0, 3, 0, 3, 1, 1]"
"[5, 24, 12, 13, 12, 11]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[5, 24, 13, 13, 11, 11]","[4, 13, 11, 10, 5, 5]","[2, 4, 10, 4, 3, 2]","[0, 2, 3, 2, 0, 1]"
"[5, 24, 14, 11, 12, 11]","[4, 13, 11, 10, 5, 5]","[2, 4, 10, 4, 3, 2]","[0, 2, 3, 2, 0, 1]"
"[5, 25, 11, 13, 11, 12]","[4, 14, 4, 11, 10, 5]","[2, 5, 3, 10, 2, 3]","[0, 3, 0, 3, 1, 1]"
"[10, 23, 15, 11, 5, 13]","[4, 13, 13, 4, 4, 10]","[2, 5, 12, 1, 0, 5]","[1, 2, 5, 0, 0, 2]","[0, 0, 2, 0, 0, 0]"
"[10, 25, 11, 13, 10, 12]","[3, 14, 4, 11, 5, 10]","[1, 5, 3, 5, 2, 4]","[0, 3, 1, 3, 0, 1]"
"[11, 30, 10, 14, 5, 11]","[4, 15, 5, 12, 3, 5]","[3, 12, 3, 10, 1, 1]","[1, 3, 1, 3, 0, 0]"
