Source_String,Target_String,weight
We have: 2 2's.,We have no digits.,320
"We have: 3 2's, 3 3's.",We have: 2 2's.,116
"We have: 4 2's, 2 4's.",We have: 2 2's.,32
"We have: 4 2's, 4 3's, 4 4's.","We have: 3 2's, 3 3's.",48
"We have: 5 2's, 5 3's, 5 4's, 5 5's.","We have: 4 2's, 4 3's, 4 4's.",8
"We have: 11 1's, 1 2, 1 3, 1 4, 1 5.",We have no digits.,15
"We have: 11 1's, 11 2's, 3 3's, 2 4's, 3 5's.","We have: 2 1's, 5 2's, 1 4, 2 5's.",25
"We have: 12 1's, 11 2's, 11 3's, 3 4's, 4 5's.","We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.",36
"We have: 12 1's, 12 2's, 11 3's, 3 4's, 5 5's.","We have: 3 1's, 5 2's, 5 3's, 2 4's, 3 5's.",1
"We have: 13 1's, 3 2's, 4 3's, 4 4's, 2 5's.","We have: 11 1's, 1 2, 1 3, 1 4, 1 5.",6
"We have: 13 1's, 3 2's, 5 3's, 2 4's, 3 5's.","We have: 11 1's, 1 2, 1 3, 1 4, 1 5.",8
"We have: 14 1's, 11 2's, 12 3's, 11 4's, 5 5's.","We have: 3 1's, 5 2's, 11 3's, 5 4's, 3 5's.",14
"We have: 14 1's, 13 2's, 5 3's, 3 4's, 11 5's.","We have: 5 1's, 12 2's, 2 3's, 1 4, 5 5's.",2
"We have: 14 1's, 14 2's, 11 3's, 13 4's, 4 5's.","We have: 4 1's, 13 2's, 5 3's, 5 4's, 3 5's.",11
"We have: 14 1's, 14 2's, 2 3's, 5 4's, 11 5's.","We have: 5 1's, 12 2's, 1 3, 2 4's, 5 5's.",7
"We have: 14 1's, 3 2's, 11 3's, 11 4's, 4 5's.","We have: 4 1's, 2 2's, 5 3's, 4 4's, 3 5's.",1
"We have: 14 1's, 4 2's, 11 3's, 11 4's, 3 5's.","We have: 4 1's, 3 2's, 5 3's, 4 4's, 2 5's.",4
"We have: 2 1's, 12 2's, 2 3's, 3 4's.","We have: 4 2's, 2 4's.",14
"We have: 2 1's, 3 2's, 2 3's, 1 5.",We have no digits.,11
"We have: 2 1's, 3 2's, 2 3's, 1 4.",We have no digits.,5
"We have: 2 1's, 5 2's, 1 4, 2 5's.",We have: 2 2's.,85
"We have: 2 1's, 5 2's, 1 3, 2 5's.",We have: 2 2's.,14
"We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.","We have: 3 2's, 3 3's.",56
"We have: 22 1's, 12 2's, 13 3's, 14 4's, 4 5's.","We have: 14 1's, 4 2's, 11 3's, 11 4's, 3 5's.",2
"We have: 22 1's, 23 2's, 4 3's, 11 4's, 12 5's.","We have: 14 1's, 14 2's, 2 3's, 5 4's, 11 5's.",6
"We have: 23 1's, 15 2's, 11 3's, 5 4's, 14 5's.","We have: 14 1's, 13 2's, 5 3's, 3 4's, 11 5's.",1
"We have: 24 1's, 13 2's, 15 3's, 13 4's, 11 5's.","We have: 14 1's, 11 2's, 12 3's, 11 4's, 5 5's.",3
