"[0, 5, 14, 5, 12, 4, 5]","[0, 2, 12, 4, 6, 0, 4]","[0, 0, 6, 3, 3, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 12, 14, 3, 5, 6, 4]","[0, 5, 12, 1, 2, 4, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 12, 14, 4, 5, 6, 3]","[0, 5, 12, 2, 2, 4, 1]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 5, 12, 10, 11, 4, 4]","[0, 0, 6, 6, 5, 2, 3]","[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 10, 14, 4, 6, 5, 4]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[3, 5, 10, 11, 10, 5, 4]","[0, 0, 6, 6, 5, 2, 3]","[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[3, 11, 6, 6, 4, 6, 6]","[2, 5, 5, 4, 2, 5, 1]","[1, 3, 2, 3, 0, 1, 0]"
"[3, 11, 12, 6, 6, 4, 3]","[2, 4, 10, 3, 4, 3, 0]","[0, 2, 5, 0, 1, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[3, 12, 10, 12, 3, 5, 3]","[1, 5, 4, 5, 2, 3, 2]","[0, 3, 1, 3, 0, 0, 1]"
"[3, 12, 11, 10, 5, 4, 3]","[1, 4, 6, 4, 3, 2, 2]","[0, 2, 3, 2, 0, 1, 0]"
"[3, 13, 6, 13, 2, 2, 6]","[2, 10, 3, 6, 1, 1, 3]","[0, 3, 1, 3, 0, 0, 1]"
"[4, 6, 10, 5, 6, 5, 6]","[2, 4, 6, 4, 4, 2, 2]","[1, 3, 2, 3, 0, 1, 0]"
"[4, 6, 10, 6, 5, 5, 6]","[2, 4, 6, 5, 3, 2, 2]","[1, 3, 2, 3, 1, 0, 0]"
"[4, 10, 5, 6, 6, 6, 5]","[2, 5, 4, 5, 4, 3, 1]","[1, 3, 2, 3, 1, 0, 0]"
"[4, 10, 12, 6, 6, 4, 3]","[2, 4, 10, 4, 3, 3, 0]","[0, 2, 5, 1, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[4, 10, 14, 4, 6, 5, 2]","[2, 4, 12, 3, 2, 3, 0]","[1, 2, 5, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[4, 12, 5, 13, 4, 3, 4]","[3, 6, 3, 10, 0, 1, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[4, 12, 6, 13, 2, 3, 5]","[3, 6, 3, 10, 0, 1, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[4, 12, 6, 13, 3, 2, 5]","[3, 6, 3, 10, 1, 0, 3]","[1, 3, 2, 3, 0, 0, 1]"
"[4, 12, 11, 10, 5, 3, 3]","[2, 4, 6, 4, 3, 1, 2]","[1, 2, 3, 2, 0, 0, 0]"
"[4, 13, 4, 12, 5, 3, 4]","[3, 10, 2, 6, 1, 1, 3]","[1, 3, 0, 3, 0, 0, 1]"
