"[0, 3, 12, 12, 6, 3, 6]","[0, 0, 6, 6, 5, 2, 3]","[0, 0, 4, 4, 4, 0, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 6, 13, 5, 4, 6, 5]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 6, 13, 6, 3, 5, 6]","[0, 4, 12, 3, 2, 3, 2]","[0, 2, 5, 0, 0, 2, 1]","[0, 0, 2, 0, 0, 0, 0]"
"[0, 12, 14, 1, 11, 1, 6]","[0, 2, 12, 0, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 12, 14, 0, 11, 1, 6]","[0, 2, 12, 0, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 12, 14, 1, 11, 0, 6]","[0, 2, 12, 0, 6, 0, 4]","[0, 0, 6, 0, 4, 0, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[1, 13, 4, 11, 5, 4, 4]","[0, 5, 3, 6, 1, 2, 3]","[0, 3, 1, 3, 0, 0, 1]"
"[1, 13, 4, 11, 6, 1, 6]","[0, 4, 3, 6, 4, 0, 3]","[0, 3, 2, 3, 1, 0, 1]"
"[2, 6, 6, 5, 5, 6, 6]","[1, 5, 4, 4, 4, 3, 1]","[0, 2, 3, 2, 0, 1, 0]"
"[2, 10, 6, 12, 3, 3, 6]","[0, 4, 3, 6, 2, 2, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[2, 11, 5, 6, 10, 4, 4]","[0, 4, 3, 5, 4, 2, 2]","[0, 3, 0, 3, 1, 0, 1]"
"[2, 11, 5, 10, 6, 4, 4]","[0, 4, 3, 6, 3, 2, 2]","[0, 3, 0, 3, 1, 1, 0]"
"[2, 11, 6, 10, 5, 2, 6]","[0, 4, 3, 6, 4, 0, 3]","[0, 3, 2, 3, 1, 0, 1]"
"[2, 11, 11, 5, 5, 5, 3]","[1, 3, 6, 3, 4, 1, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 11, 11, 5, 6, 3, 4]","[1, 3, 6, 3, 4, 1, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[2, 12, 6, 11, 3, 4, 4]","[1, 5, 3, 6, 0, 3, 2]","[0, 3, 1, 3, 0, 1, 0]"
"[3, 6, 5, 6, 5, 6, 5]","[2, 5, 4, 4, 4, 2, 1]","[1, 3, 1, 3, 0, 0, 0]"
"[3, 6, 5, 6, 6, 4, 6]","[2, 5, 4, 4, 4, 2, 1]","[1, 3, 1, 3, 0, 0, 0]"
"[3, 6, 10, 13, 3, 3, 4]","[1, 3, 6, 5, 1, 2, 2]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[3, 10, 5, 10, 6, 4, 4]","[0, 4, 4, 5, 3, 2, 2]","[0, 3, 1, 3, 0, 0, 1]"
"[3, 11, 6, 12, 3, 2, 5]","[2, 4, 3, 6, 2, 0, 3]","[1, 3, 0, 3, 0, 0, 1]"
"[4, 6, 10, 5, 10, 3, 4]","[1, 3, 6, 3, 4, 1, 2]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[4, 10, 5, 12, 5, 3, 3]","[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
"[4, 11, 5, 6, 10, 4, 2]","[2, 4, 3, 5, 4, 2, 0]","[1, 3, 0, 3, 1, 0, 0]"
"[4, 11, 5, 10, 6, 2, 4]","[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
