"[2, 21, 5, 13, 5, 11, 6]","[1, 13, 2, 11, 4, 5, 4]","[0, 5, 0, 6, 1, 3, 3]","[0, 3, 0, 3, 0, 1, 1]"
"[2, 21, 13, 11, 2, 6, 11]","[1, 11, 6, 6, 1, 5, 6]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[3, 14, 13, 12, 6, 6, 6]","[2, 10, 11, 6, 4, 5, 2]","[0, 3, 5, 5, 2, 3, 0]","[0, 2, 3, 2, 1, 0, 0]"
"[3, 16, 5, 11, 10, 10, 11]","[0, 5, 4, 6, 6, 5, 6]","[0, 4, 3, 5, 4, 2, 2]","[0, 3, 0, 3, 1, 0, 1]"
"[4, 13, 12, 13, 6, 6, 6]","[3, 6, 10, 10, 4, 5, 2]","[0, 3, 5, 5, 2, 3, 0]","[0, 2, 3, 2, 1, 0, 0]"
"[4, 14, 5, 13, 13, 10, 4]","[2, 6, 4, 10, 6, 5, 3]","[0, 4, 2, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[4, 15, 11, 10, 11, 6, 6]","[2, 5, 10, 6, 6, 4, 3]","[0, 3, 5, 4, 4, 2, 0]","[0, 2, 3, 2, 1, 0, 0]"
"[4, 16, 5, 11, 11, 10, 6]","[2, 6, 4, 10, 6, 5, 3]","[0, 4, 2, 5, 4, 3, 0]","[0, 3, 0, 3, 1, 1, 0]"
"[4, 20, 11, 10, 4, 6, 11]","[1, 11, 6, 6, 1, 5, 6]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
"[5, 15, 6, 11, 10, 10, 6]","[2, 6, 5, 10, 6, 4, 3]","[0, 4, 3, 5, 4, 2, 0]","[0, 3, 1, 3, 1, 0, 0]"
"[5, 16, 12, 13, 3, 10, 4]","[3, 11, 10, 10, 1, 5, 2]","[0, 2, 5, 5, 0, 3, 1]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[5, 16, 12, 13, 4, 10, 3]","[3, 11, 10, 10, 2, 5, 1]","[0, 2, 5, 5, 1, 3, 0]","[0, 0, 3, 3, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 15, 5, 13, 10, 3, 11]","[4, 6, 4, 10, 6, 0, 6]","[2, 4, 3, 6, 3, 0, 2]","[1, 3, 0, 3, 1, 0, 0]"
"[6, 15, 13, 10, 11, 3, 5]","[4, 6, 12, 4, 10, 0, 3]","[2, 3, 10, 2, 4, 0, 1]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[6, 16, 13, 6, 11, 1, 10]","[4, 6, 12, 4, 10, 0, 3]","[2, 3, 10, 2, 4, 0, 1]","[0, 0, 4, 0, 2, 0, 0]","[0, 0, 2, 0, 0, 0, 0]"
"[10, 16, 12, 10, 1, 10, 10]","[2, 5, 10, 6, 0, 6, 5]","[0, 3, 5, 5, 0, 3, 2]","[0, 2, 3, 2, 0, 0, 1]"
