"[0, 7, 13, 5, 6, 7, 3, 7]","[0, 5, 12, 2, 5, 5, 1, 3]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[0, 12, 4, 7, 11, 7, 5, 4]","[0, 6, 2, 6, 6, 5, 4, 1]","[0, 4, 0, 5, 4, 3, 0, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[1, 6, 7, 7, 5, 7, 7, 6]","[0, 4, 6, 6, 4, 5, 4, 1]","[0, 2, 5, 5, 0, 3, 1, 0]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 6, 7, 7, 7, 6, 7, 5]","[0, 4, 6, 6, 6, 4, 4, 0]","[0, 3, 5, 5, 2, 3, 0, 0]","[0, 2, 3, 2, 1, 0, 0, 0]"
"[1, 7, 7, 5, 6, 7, 6, 7]","[0, 5, 6, 4, 5, 5, 3, 2]","[0, 4, 4, 2, 3, 1, 1, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 7, 12, 12, 3, 6, 3, 6]","[0, 3, 7, 7, 2, 5, 0, 4]","[0, 2, 5, 5, 0, 3, 0, 1]","[0, 0, 3, 3, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 7, 13, 6, 7, 2, 6, 6]","[0, 4, 11, 4, 6, 1, 2, 3]","[0, 0, 7, 2, 3, 0, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 13, 14, 2, 11, 5, 1, 5]","[0, 4, 12, 0, 7, 2, 0, 4]","[0, 2, 7, 0, 4, 1, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[1, 14, 1, 7, 11, 7, 5, 4]","[0, 6, 0, 6, 6, 5, 4, 1]","[0, 4, 0, 5, 4, 3, 0, 0]","[0, 3, 0, 3, 1, 1, 0, 0]"
"[2, 7, 7, 5, 6, 6, 7, 6]","[1, 6, 5, 4, 5, 4, 3, 2]","[0, 4, 3, 2, 2, 1, 1, 1]"
"[2, 7, 7, 5, 6, 7, 5, 7]","[1, 6, 5, 4, 5, 4, 3, 2]","[0, 4, 3, 2, 2, 1, 1, 1]"
"[2, 7, 12, 10, 3, 6, 5, 5]","[0, 4, 7, 6, 2, 3, 3, 3]","[0, 3, 5, 2, 0, 2, 1, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 7, 13, 6, 7, 1, 6, 6]","[1, 4, 11, 4, 6, 0, 2, 3]","[0, 0, 7, 2, 3, 0, 0, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 10, 11, 6, 5, 6, 6, 4]","[0, 4, 7, 5, 3, 4, 2, 3]","[0, 3, 5, 2, 0, 2, 1, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 10, 11, 6, 5, 7, 4, 5]","[0, 4, 7, 5, 3, 4, 2, 3]","[0, 3, 5, 2, 0, 2, 1, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 10, 11, 7, 4, 6, 5, 5]","[0, 4, 7, 6, 2, 3, 3, 3]","[0, 3, 5, 2, 0, 2, 1, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 10, 11, 7, 5, 6, 4, 5]","[0, 4, 7, 6, 3, 3, 2, 3]","[0, 3, 5, 2, 1, 2, 0, 1]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 10, 11, 7, 5, 6, 5, 4]","[0, 4, 7, 6, 3, 3, 3, 2]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 10, 11, 7, 6, 4, 6, 4]","[0, 4, 7, 6, 3, 3, 3, 2]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 11, 10, 5, 7, 7, 4, 4]","[0, 5, 6, 4, 4, 5, 3, 1]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[2, 11, 10, 6, 5, 7, 6, 3]","[0, 5, 6, 4, 4, 5, 3, 1]","[0, 3, 5, 2, 1, 2, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
