"[4, 21, 15, 10, 14, 7, 6, 10]","[1, 13, 13, 7, 11, 5, 4, 6]","[0, 5, 12, 4, 7, 3, 2, 4]","[0, 3, 7, 2, 4, 1, 1, 2]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[4, 21, 15, 13, 10, 10, 7, 7]","[1, 13, 13, 11, 6, 6, 6, 4]","[0, 5, 12, 6, 4, 5, 2, 3]","[0, 3, 7, 4, 2, 2, 0, 2]","[0, 2, 3, 2, 0, 1, 0, 0]"
"[4, 21, 16, 12, 10, 7, 10, 7]","[1, 13, 13, 11, 6, 6, 6, 4]","[0, 5, 12, 6, 4, 5, 2, 3]","[0, 3, 7, 4, 2, 2, 0, 2]","[0, 2, 3, 2, 0, 1, 0, 0]"
"[4, 22, 10, 16, 7, 11, 11, 6]","[2, 13, 5, 15, 5, 10, 6, 4]","[0, 7, 3, 13, 3, 4, 4, 3]","[0, 5, 2, 6, 0, 3, 3, 1]","[0, 3, 0, 3, 0, 1, 1, 0]"
"[4, 22, 11, 16, 7, 11, 10, 6]","[2, 13, 6, 15, 5, 10, 5, 4]","[0, 7, 4, 13, 3, 4, 3, 3]","[0, 5, 3, 6, 0, 3, 2, 1]","[0, 3, 1, 3, 0, 1, 0, 0]"
"[4, 22, 13, 14, 12, 3, 10, 11]","[2, 13, 7, 11, 7, 2, 7, 10]","[0, 6, 4, 7, 6, 1, 6, 4]","[0, 4, 3, 6, 3, 0, 2, 2]","[0, 3, 0, 3, 1, 0, 0, 1]"
"[4, 22, 13, 14, 12, 11, 6, 5]","[3, 14, 7, 12, 7, 7, 4, 4]","[2, 11, 5, 10, 3, 6, 3, 0]","[0, 5, 3, 5, 2, 4, 1, 0]","[0, 3, 1, 3, 0, 1, 0, 0]"
"[4, 22, 16, 10, 11, 5, 11, 10]","[1, 12, 13, 7, 7, 3, 7, 7]","[0, 6, 11, 4, 6, 2, 6, 2]","[0, 3, 6, 3, 4, 1, 2, 1]","[0, 0, 4, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
"[4, 23, 11, 15, 11, 13, 5, 5]","[3, 14, 7, 12, 7, 7, 4, 4]","[2, 11, 5, 10, 3, 6, 3, 0]","[0, 5, 3, 5, 2, 4, 1, 0]","[0, 3, 1, 3, 0, 1, 0, 0]"
"[4, 25, 6, 15, 11, 11, 11, 4]","[3, 15, 4, 14, 6, 6, 7, 3]","[2, 12, 3, 11, 3, 4, 4, 1]","[1, 5, 0, 6, 0, 3, 3, 0]","[0, 3, 0, 3, 0, 1, 1, 0]"
"[5, 20, 16, 12, 7, 10, 10, 7]","[1, 13, 13, 11, 6, 6, 6, 4]","[0, 5, 12, 6, 4, 5, 2, 3]","[0, 3, 7, 4, 2, 2, 0, 2]","[0, 2, 3, 2, 0, 1, 0, 0]"
